관측지점,시점,평균기온(℃),합계강수량(mm),합계일조시간(hr)
영천,2021.09,20.8,120.4,113.5
영천,2022.08,25.5,181.0,141.1
영천,2022.09,20.3,102.3,142.5
영천,2023.08,26.4,267.1,186.8
영천,2023.09,22.4,140.3,147.6
합천,2014.08,23.7,484.7,88.9
합천,2014.09,20.7,124.3,159.2
합천,2015.08,25.1,197.7,170.2
합천,2015.09,19.9,80.4,170.6
합천,2016.08,27.1,101.0,258.2
합천,2016.09,21.4,357.1,107.3
합천,2017.08,25.9,158.2,209.9
합천,2017.09,20.3,106.5,199.5
합천,2018.08,27.3,319.0,213.9
합천,2018.09,20.3,137.9,146.1
합천,2019.08,26.4,101.8,171.7
합천,2019.09,21.6,297.2,138.5
합천,2020.08,27.0,466.2,165.2
합천,2020.09,20.1,193.7,140.8
합천,2021.08,25.0,322.0,136.6
합천,2021.09,21.3,122.4,105.3
합천,2022.08,25.6,201.3,135.6
합천,2022.09,21.0,163.0,137.2
합천,2023.08,27.0,503.0,191.2
합천,2023.09,23.1,160.3,148.9
산청,2014.08,23.3,645.7,110.4
산청,2014.09,20.0,138.8,187.4
산청,2015.08,24.3,191.5,189.9
산청,2015.09,19.4,91.6,196.7
산청,2016.08,26.4,112.3,259.0
산청,2016.09,20.8,347.0,92.9
산청,2017.08,25.6,161.8,193.4
산청,2017.09,19.7,96.9,192.7
산청,2018.08,26.6,489.7,205.7
산청,2018.09,19.8,162.3,138.7
산청,2019.08,25.8,104.6,197.0
산청,2019.09,21.5,377.7,120.3
산청,2020.08,26.7,712.0,157.0
산청,2020.09,19.5,228.5,122.7
산청,2021.08,25.1,264.3,132.7
산청,2021.09,21.0,146.1,104.7
산청,2022.08,25.3,232.6,134.5
산청,2022.09,20.6,153.6,128.9
산청,2023.08,26.8,503.1,197.1
산청,2023.09,22.6,170.6,145.2
